"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Females","Slovenia","From 15 to 64 years","Percentage of total population","2008","Active population","67.5",""
"Total","Slovakia","From 15 to 64 years","Percentage of total population","2008","Active population","68.8",""
"Males","Slovakia","From 15 to 64 years","Percentage of total population","2008","Active population","76.4",""
"Females","Slovakia","From 15 to 64 years","Percentage of total population","2008","Active population","61.3",""
"Total","Finland","From 15 to 64 years","Percentage of total population","2008","Active population","76.0",""
"Males","Finland","From 15 to 64 years","Percentage of total population","2008","Active population","77.9",""
"Females","Finland","From 15 to 64 years","Percentage of total population","2008","Active population","73.9",""
"Total","Sweden","From 15 to 64 years","Percentage of total population","2008","Active population","79.3",""
"Males","Sweden","From 15 to 64 years","Percentage of total population","2008","Active population","81.7",""
"Females","Sweden","From 15 to 64 years","Percentage of total population","2008","Active population","76.9",""
"Total","United Kingdom","From 15 to 64 years","Percentage of total population","2008","Active population","75.8","b"
"Males","United Kingdom","From 15 to 64 years","Percentage of total population","2008","Active population","82.4","b"
"Females","United Kingdom","From 15 to 64 years","Percentage of total population","2008","Active population","69.3","b"
"Total","Iceland","From 15 to 64 years","Percentage of total population","2008","Active population","86.2",""
"Males","Iceland","From 15 to 64 years","Percentage of total population","2008","Active population","90.3",""
"Females","Iceland","From 15 to 64 years","Percentage of total population","2008","Active population","81.7",""
"Total","Norway","From 15 to 64 years","Percentage of total population","2008","Active population","80.0",""
"Males","Norway","From 15 to 64 years","Percentage of total population","2008","Active population","82.7",""
"Females","Norway","From 15 to 64 years","Percentage of total population","2008","Active population","77.2",""
"Total","Switzerland","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","Switzerland","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","Switzerland","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2008","Active population","63.5",""
"Males","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2008","Active population","76.6",""
"Females","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2008","Active population","50.2",""
"Total","Turkey","From 15 to 64 years","Percentage of total population","2008","Active population","49.8",""
"Males","Turkey","From 15 to 64 years","Percentage of total population","2008","Active population","73.8",""
"Females","Turkey","From 15 to 64 years","Percentage of total population","2008","Active population","26.2",""
"Total","United States","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","United States","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","United States","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","Japan","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","Japan","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","Japan","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
