"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Males","Ireland","From 15 to 64 years","Percentage of total population","2007","Active population","81.7","b"
"Females","Ireland","From 15 to 64 years","Percentage of total population","2007","Active population","63.4","b"
"Total","Greece","From 15 to 64 years","Percentage of total population","2007","Active population","66.5",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2007","Active population","78.4",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2007","Active population","54.8",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2007","Active population","71.8",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2007","Active population","81.4",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2007","Active population","61.9",""
"Total","France","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2007","Active population","69.7",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2007","Active population","74.7",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2007","Active population","64.9",""
"Total","Croatia","From 15 to 64 years","Percentage of total population","2007","Active population","65.7",""
"Males","Croatia","From 15 to 64 years","Percentage of total population","2007","Active population","73.0",""
"Females","Croatia","From 15 to 64 years","Percentage of total population","2007","Active population","58.4",""
"Total","Italy","From 15 to 64 years","Percentage of total population","2007","Active population","62.4",""
"Males","Italy","From 15 to 64 years","Percentage of total population","2007","Active population","74.3",""
"Females","Italy","From 15 to 64 years","Percentage of total population","2007","Active population","50.6",""
"Total","Cyprus","From 15 to 64 years","Percentage of total population","2007","Active population","73.9",""
"Males","Cyprus","From 15 to 64 years","Percentage of total population","2007","Active population","82.9",""
"Females","Cyprus","From 15 to 64 years","Percentage of total population","2007","Active population","65.4",""
"Total","Latvia","From 15 to 64 years","Percentage of total population","2007","Active population","72.6",""
"Males","Latvia","From 15 to 64 years","Percentage of total population","2007","Active population","77.9",""
"Females","Latvia","From 15 to 64 years","Percentage of total population","2007","Active population","67.8",""
"Total","Lithuania","From 15 to 64 years","Percentage of total population","2007","Active population","67.9",""
"Males","Lithuania","From 15 to 64 years","Percentage of total population","2007","Active population","71.3",""
"Females","Lithuania","From 15 to 64 years","Percentage of total population","2007","Active population","64.9",""
"Total","Luxembourg","From 15 to 64 years","Percentage of total population","2007","Active population","66.9","b"
"Males","Luxembourg","From 15 to 64 years","Percentage of total population","2007","Active population","75.0","b"
"Females","Luxembourg","From 15 to 64 years","Percentage of total population","2007","Active population","58.9","b"
"Total","Hungary","From 15 to 64 years","Percentage of total population","2007","Active population","61.6",""
"Males","Hungary","From 15 to 64 years","Percentage of total population","2007","Active population","68.6",""
"Females","Hungary","From 15 to 64 years","Percentage of total population","2007","Active population","54.9",""
"Total","Malta","From 15 to 64 years","Percentage of total population","2007","Active population","58.8",""
"Males","Malta","From 15 to 64 years","Percentage of total population","2007","Active population","78.0",""
"Females","Malta","From 15 to 64 years","Percentage of total population","2007","Active population","39.1",""
"Total","Netherlands","From 15 to 64 years","Percentage of total population","2007","Active population","78.5",""
"Males","Netherlands","From 15 to 64 years","Percentage of total population","2007","Active population","84.6",""
"Females","Netherlands","From 15 to 64 years","Percentage of total population","2007","Active population","72.2",""
"Total","Austria","From 15 to 64 years","Percentage of total population","2007","Active population","73.5","b"
"Males","Austria","From 15 to 64 years","Percentage of total population","2007","Active population","80.0","b"
"Females","Austria","From 15 to 64 years","Percentage of total population","2007","Active population","67.1","b"
"Total","Poland","From 15 to 64 years","Percentage of total population","2007","Active population","63.2",""
"Males","Poland","From 15 to 64 years","Percentage of total population","2007","Active population","70.0",""
"Females","Poland","From 15 to 64 years","Percentage of total population","2007","Active population","56.5",""
"Total","Portugal","From 15 to 64 years","Percentage of total population","2007","Active population","73.9",""
"Males","Portugal","From 15 to 64 years","Percentage of total population","2007","Active population","79.2",""
"Females","Portugal","From 15 to 64 years","Percentage of total population","2007","Active population","68.7",""
"Total","Romania","From 15 to 64 years","Percentage of total population","2007","Active population","63.0",""
"Males","Romania","From 15 to 64 years","Percentage of total population","2007","Active population","70.1",""
"Females","Romania","From 15 to 64 years","Percentage of total population","2007","Active population","56.0",""
"Total","Slovenia","From 15 to 64 years","Percentage of total population","2007","Active population","71.3",""
"Males","Slovenia","From 15 to 64 years","Percentage of total population","2007","Active population","75.8",""
"Females","Slovenia","From 15 to 64 years","Percentage of total population","2007","Active population","66.6",""
"Total","Slovakia","From 15 to 64 years","Percentage of total population","2007","Active population","68.3",""
"Males","Slovakia","From 15 to 64 years","Percentage of total population","2007","Active population","75.9",""
"Females","Slovakia","From 15 to 64 years","Percentage of total population","2007","Active population","60.8",""
"Total","Finland","From 15 to 64 years","Percentage of total population","2007","Active population","75.6",""
"Males","Finland","From 15 to 64 years","Percentage of total population","2007","Active population","77.2",""
"Females","Finland","From 15 to 64 years","Percentage of total population","2007","Active population","73.8",""
"Total","Sweden","From 15 to 64 years","Percentage of total population","2007","Active population","79.1",""
"Males","Sweden","From 15 to 64 years","Percentage of total population","2007","Active population","81.4",""
"Females","Sweden","From 15 to 64 years","Percentage of total population","2007","Active population","76.8",""
"Total","United Kingdom","From 15 to 64 years","Percentage of total population","2007","Active population","75.5","b"
"Males","United Kingdom","From 15 to 64 years","Percentage of total population","2007","Active population","82.2","b"
"Females","United Kingdom","From 15 to 64 years","Percentage of total population","2007","Active population","68.9","b"
"Total","Iceland","From 15 to 64 years","Percentage of total population","2007","Active population","87.1",""
"Males","Iceland","From 15 to 64 years","Percentage of total population","2007","Active population","91.2",""
"Females","Iceland","From 15 to 64 years","Percentage of total population","2007","Active population","82.7",""
"Total","Norway","From 15 to 64 years","Percentage of total population","2007","Active population","78.8",""
"Males","Norway","From 15 to 64 years","Percentage of total population","2007","Active population","81.6",""
"Females","Norway","From 15 to 64 years","Percentage of total population","2007","Active population","75.9",""
"Total","Switzerland","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","Switzerland","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","Switzerland","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2007","Active population","62.8",""
"Males","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2007","Active population","74.8",""
"Females","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2007","Active population","50.4",""
"Total","Turkey","From 15 to 64 years","Percentage of total population","2007","Active population","49.1",""
"Males","Turkey","From 15 to 64 years","Percentage of total population","2007","Active population","73.4",""
"Females","Turkey","From 15 to 64 years","Percentage of total population","2007","Active population","25.2",""
"Total","United States","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","United States","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","United States","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","Japan","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","Japan","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","Japan","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2007","Active population",":",""
