"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","Italy","From 15 to 64 years","Percentage of total population","2006","Active population","62.6",""
"Males","Italy","From 15 to 64 years","Percentage of total population","2006","Active population","74.5",""
"Females","Italy","From 15 to 64 years","Percentage of total population","2006","Active population","50.8",""
"Total","Cyprus","From 15 to 64 years","Percentage of total population","2006","Active population","73.0",""
"Males","Cyprus","From 15 to 64 years","Percentage of total population","2006","Active population","82.7",""
"Females","Cyprus","From 15 to 64 years","Percentage of total population","2006","Active population","63.8",""
"Total","Latvia","From 15 to 64 years","Percentage of total population","2006","Active population","71.0",""
"Males","Latvia","From 15 to 64 years","Percentage of total population","2006","Active population","76.1",""
"Females","Latvia","From 15 to 64 years","Percentage of total population","2006","Active population","66.4",""
"Total","Lithuania","From 15 to 64 years","Percentage of total population","2006","Active population","67.6",""
"Males","Lithuania","From 15 to 64 years","Percentage of total population","2006","Active population","70.7",""
"Females","Lithuania","From 15 to 64 years","Percentage of total population","2006","Active population","64.6",""
"Total","Luxembourg","From 15 to 64 years","Percentage of total population","2006","Active population","66.7",""
"Males","Luxembourg","From 15 to 64 years","Percentage of total population","2006","Active population","75.3",""
"Females","Luxembourg","From 15 to 64 years","Percentage of total population","2006","Active population","58.2",""
"Total","Hungary","From 15 to 64 years","Percentage of total population","2006","Active population","62.0",""
"Males","Hungary","From 15 to 64 years","Percentage of total population","2006","Active population","68.9",""
"Females","Hungary","From 15 to 64 years","Percentage of total population","2006","Active population","55.5",""
"Total","Malta","From 15 to 64 years","Percentage of total population","2006","Active population","57.9",""
"Males","Malta","From 15 to 64 years","Percentage of total population","2006","Active population","78.5",""
"Females","Malta","From 15 to 64 years","Percentage of total population","2006","Active population","36.8",""
"Total","Netherlands","From 15 to 64 years","Percentage of total population","2006","Active population","77.4",""
"Males","Netherlands","From 15 to 64 years","Percentage of total population","2006","Active population","83.9",""
"Females","Netherlands","From 15 to 64 years","Percentage of total population","2006","Active population","70.7",""
"Total","Austria","From 15 to 64 years","Percentage of total population","2006","Active population","72.4",""
"Males","Austria","From 15 to 64 years","Percentage of total population","2006","Active population","78.9",""
"Females","Austria","From 15 to 64 years","Percentage of total population","2006","Active population","66.0",""
"Total","Poland","From 15 to 64 years","Percentage of total population","2006","Active population","63.4",""
"Males","Poland","From 15 to 64 years","Percentage of total population","2006","Active population","70.1",""
"Females","Poland","From 15 to 64 years","Percentage of total population","2006","Active population","56.8",""
"Total","Portugal","From 15 to 64 years","Percentage of total population","2006","Active population","73.6",""
"Males","Portugal","From 15 to 64 years","Percentage of total population","2006","Active population","79.2",""
"Females","Portugal","From 15 to 64 years","Percentage of total population","2006","Active population","68.2",""
"Total","Romania","From 15 to 64 years","Percentage of total population","2006","Active population","63.6",""
"Males","Romania","From 15 to 64 years","Percentage of total population","2006","Active population","70.7",""
"Females","Romania","From 15 to 64 years","Percentage of total population","2006","Active population","56.6",""
"Total","Slovenia","From 15 to 64 years","Percentage of total population","2006","Active population","70.9",""
"Males","Slovenia","From 15 to 64 years","Percentage of total population","2006","Active population","74.9",""
"Females","Slovenia","From 15 to 64 years","Percentage of total population","2006","Active population","66.7",""
"Total","Slovakia","From 15 to 64 years","Percentage of total population","2006","Active population","68.6",""
"Males","Slovakia","From 15 to 64 years","Percentage of total population","2006","Active population","76.4",""
"Females","Slovakia","From 15 to 64 years","Percentage of total population","2006","Active population","60.9",""
"Total","Finland","From 15 to 64 years","Percentage of total population","2006","Active population","75.2",""
"Males","Finland","From 15 to 64 years","Percentage of total population","2006","Active population","77.1",""
"Females","Finland","From 15 to 64 years","Percentage of total population","2006","Active population","73.3",""
"Total","Sweden","From 15 to 64 years","Percentage of total population","2006","Active population","78.8",""
"Males","Sweden","From 15 to 64 years","Percentage of total population","2006","Active population","81.2",""
"Females","Sweden","From 15 to 64 years","Percentage of total population","2006","Active population","76.3",""
"Total","United Kingdom","From 15 to 64 years","Percentage of total population","2006","Active population","75.7",""
"Males","United Kingdom","From 15 to 64 years","Percentage of total population","2006","Active population","82.3",""
"Females","United Kingdom","From 15 to 64 years","Percentage of total population","2006","Active population","69.2",""
"Total","Iceland","From 15 to 64 years","Percentage of total population","2006","Active population","87.1",""
"Males","Iceland","From 15 to 64 years","Percentage of total population","2006","Active population","90.5",""
"Females","Iceland","From 15 to 64 years","Percentage of total population","2006","Active population","83.4",""
"Total","Norway","From 15 to 64 years","Percentage of total population","2006","Active population","78.0","b"
"Males","Norway","From 15 to 64 years","Percentage of total population","2006","Active population","81.3","b"
"Females","Norway","From 15 to 64 years","Percentage of total population","2006","Active population","74.7","b"
"Total","Switzerland","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","Switzerland","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","Switzerland","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2006","Active population","62.2",""
"Males","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2006","Active population","75.0",""
"Females","Former Yugoslav Republic of Macedonia, the","From 15 to 64 years","Percentage of total population","2006","Active population","49.2",""
"Total","Turkey","From 15 to 64 years","Percentage of total population","2006","Active population","49.0",""
"Males","Turkey","From 15 to 64 years","Percentage of total population","2006","Active population","73.3",""
"Females","Turkey","From 15 to 64 years","Percentage of total population","2006","Active population","25.1",""
"Total","United States","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","United States","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","United States","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","Japan","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","Japan","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","Japan","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","Euro area (13 countries)","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
