"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","Slovakia","From 20 to 64 years","Percentage of total population","2006","Active population","75.7",""
"Males","Slovakia","From 20 to 64 years","Percentage of total population","2006","Active population","84.4",""
"Females","Slovakia","From 20 to 64 years","Percentage of total population","2006","Active population","67.1",""
"Total","Finland","From 20 to 64 years","Percentage of total population","2006","Active population","79.5",""
"Males","Finland","From 20 to 64 years","Percentage of total population","2006","Active population","81.8",""
"Females","Finland","From 20 to 64 years","Percentage of total population","2006","Active population","77.2",""
"Total","Sweden","From 20 to 64 years","Percentage of total population","2006","Active population","83.9",""
"Males","Sweden","From 20 to 64 years","Percentage of total population","2006","Active population","87.0",""
"Females","Sweden","From 20 to 64 years","Percentage of total population","2006","Active population","80.7",""
"Total","United Kingdom","From 20 to 64 years","Percentage of total population","2006","Active population","78.8",""
"Males","United Kingdom","From 20 to 64 years","Percentage of total population","2006","Active population","86.2",""
"Females","United Kingdom","From 20 to 64 years","Percentage of total population","2006","Active population","71.6",""
"Total","Iceland","From 20 to 64 years","Percentage of total population","2006","Active population","88.1",""
"Males","Iceland","From 20 to 64 years","Percentage of total population","2006","Active population","92.2",""
"Females","Iceland","From 20 to 64 years","Percentage of total population","2006","Active population","83.7",""
"Total","Norway","From 20 to 64 years","Percentage of total population","2006","Active population","81.9","b"
"Males","Norway","From 20 to 64 years","Percentage of total population","2006","Active population","85.8","b"
"Females","Norway","From 20 to 64 years","Percentage of total population","2006","Active population","77.9","b"
"Total","Switzerland","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","Switzerland","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","Switzerland","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2006","Active population","68.0",""
"Males","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2006","Active population","82.1",""
"Females","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2006","Active population","53.5",""
"Total","Turkey","From 20 to 64 years","Percentage of total population","2006","Active population","52.7",""
"Males","Turkey","From 20 to 64 years","Percentage of total population","2006","Active population","79.9",""
"Females","Turkey","From 20 to 64 years","Percentage of total population","2006","Active population","26.3",""
"Total","United States","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","United States","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","United States","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","Japan","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","Japan","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","Japan","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2006","Active population",":",""
