"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Males","Ireland","From 20 to 64 years","Percentage of total population","2008","Active population","86.5",""
"Females","Ireland","From 20 to 64 years","Percentage of total population","2008","Active population","67.2",""
"Total","Greece","From 20 to 64 years","Percentage of total population","2008","Active population","71.8",""
"Males","Greece","From 20 to 64 years","Percentage of total population","2008","Active population","84.3",""
"Females","Greece","From 20 to 64 years","Percentage of total population","2008","Active population","59.4",""
"Total","Spain","From 20 to 64 years","Percentage of total population","2008","Active population","76.6",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2008","Active population","86.1",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2008","Active population","67.0",""
"Total","France","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","France","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2008","Active population","75.5",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2008","Active population","80.7",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2008","Active population","70.5",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2008","Active population","70.6",""
"Males","Croatia","From 20 to 64 years","Percentage of total population","2008","Active population","77.9",""
"Females","Croatia","From 20 to 64 years","Percentage of total population","2008","Active population","63.4",""
"Total","Italy","From 20 to 64 years","Percentage of total population","2008","Active population","67.2",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2008","Active population","79.5",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2008","Active population","55.1",""
"Total","Cyprus","From 20 to 64 years","Percentage of total population","2008","Active population","79.5",""
"Males","Cyprus","From 20 to 64 years","Percentage of total population","2008","Active population","88.0",""
"Females","Cyprus","From 20 to 64 years","Percentage of total population","2008","Active population","71.2",""
"Total","Latvia","From 20 to 64 years","Percentage of total population","2008","Active population","81.7",""
"Males","Latvia","From 20 to 64 years","Percentage of total population","2008","Active population","86.4",""
"Females","Latvia","From 20 to 64 years","Percentage of total population","2008","Active population","77.3",""
"Total","Lithuania","From 20 to 64 years","Percentage of total population","2008","Active population","76.3",""
"Males","Lithuania","From 20 to 64 years","Percentage of total population","2008","Active population","80.3",""
"Females","Lithuania","From 20 to 64 years","Percentage of total population","2008","Active population","72.7",""
"Total","Luxembourg","From 20 to 64 years","Percentage of total population","2008","Active population","72.3",""
"Males","Luxembourg","From 20 to 64 years","Percentage of total population","2008","Active population","80.6",""
"Females","Luxembourg","From 20 to 64 years","Percentage of total population","2008","Active population","63.8",""
"Total","Hungary","From 20 to 64 years","Percentage of total population","2008","Active population","66.7",""
"Males","Hungary","From 20 to 64 years","Percentage of total population","2008","Active population","74.2",""
"Females","Hungary","From 20 to 64 years","Percentage of total population","2008","Active population","59.5",""
"Total","Malta","From 20 to 64 years","Percentage of total population","2008","Active population","62.3",""
"Males","Malta","From 20 to 64 years","Percentage of total population","2008","Active population","82.3",""
"Females","Malta","From 20 to 64 years","Percentage of total population","2008","Active population","41.7",""
"Total","Netherlands","From 20 to 64 years","Percentage of total population","2008","Active population","80.8",""
"Males","Netherlands","From 20 to 64 years","Percentage of total population","2008","Active population","87.4",""
"Females","Netherlands","From 20 to 64 years","Percentage of total population","2008","Active population","74.2",""
"Total","Austria","From 20 to 64 years","Percentage of total population","2008","Active population","76.7",""
"Males","Austria","From 20 to 64 years","Percentage of total population","2008","Active population","83.1",""
"Females","Austria","From 20 to 64 years","Percentage of total population","2008","Active population","70.4",""
"Total","Poland","From 20 to 64 years","Percentage of total population","2008","Active population","69.9",""
"Males","Poland","From 20 to 64 years","Percentage of total population","2008","Active population","78.0",""
"Females","Poland","From 20 to 64 years","Percentage of total population","2008","Active population","62.2",""
"Total","Portugal","From 20 to 64 years","Percentage of total population","2008","Active population","79.2",""
"Males","Portugal","From 20 to 64 years","Percentage of total population","2008","Active population","85.0",""
"Females","Portugal","From 20 to 64 years","Percentage of total population","2008","Active population","73.7",""
"Total","Romania","From 20 to 64 years","Percentage of total population","2008","Active population","68.2",""
"Males","Romania","From 20 to 64 years","Percentage of total population","2008","Active population","76.5",""
"Females","Romania","From 20 to 64 years","Percentage of total population","2008","Active population","60.0",""
"Total","Slovenia","From 20 to 64 years","Percentage of total population","2008","Active population","76.4",""
"Males","Slovenia","From 20 to 64 years","Percentage of total population","2008","Active population","80.6",""
"Females","Slovenia","From 20 to 64 years","Percentage of total population","2008","Active population","71.9",""
"Total","Slovakia","From 20 to 64 years","Percentage of total population","2008","Active population","75.8",""
"Males","Slovakia","From 20 to 64 years","Percentage of total population","2008","Active population","84.2",""
"Females","Slovakia","From 20 to 64 years","Percentage of total population","2008","Active population","67.5",""
"Total","Finland","From 20 to 64 years","Percentage of total population","2008","Active population","80.2",""
"Males","Finland","From 20 to 64 years","Percentage of total population","2008","Active population","82.8",""
"Females","Finland","From 20 to 64 years","Percentage of total population","2008","Active population","77.7",""
"Total","Sweden","From 20 to 64 years","Percentage of total population","2008","Active population","84.7",""
"Males","Sweden","From 20 to 64 years","Percentage of total population","2008","Active population","87.8",""
"Females","Sweden","From 20 to 64 years","Percentage of total population","2008","Active population","81.5",""
"Total","United Kingdom","From 20 to 64 years","Percentage of total population","2008","Active population","79.0","b"
"Males","United Kingdom","From 20 to 64 years","Percentage of total population","2008","Active population","86.3","b"
"Females","United Kingdom","From 20 to 64 years","Percentage of total population","2008","Active population","71.9","b"
"Total","Iceland","From 20 to 64 years","Percentage of total population","2008","Active population","87.3",""
"Males","Iceland","From 20 to 64 years","Percentage of total population","2008","Active population","92.2",""
"Females","Iceland","From 20 to 64 years","Percentage of total population","2008","Active population","81.9",""
"Total","Norway","From 20 to 64 years","Percentage of total population","2008","Active population","83.4",""
"Males","Norway","From 20 to 64 years","Percentage of total population","2008","Active population","86.7",""
"Females","Norway","From 20 to 64 years","Percentage of total population","2008","Active population","80.1",""
"Total","Switzerland","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","Switzerland","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","Switzerland","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2008","Active population","69.4",""
"Males","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2008","Active population","83.7",""
"Females","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2008","Active population","54.9",""
"Total","Turkey","From 20 to 64 years","Percentage of total population","2008","Active population","53.4",""
"Males","Turkey","From 20 to 64 years","Percentage of total population","2008","Active population","80.1",""
"Females","Turkey","From 20 to 64 years","Percentage of total population","2008","Active population","27.6",""
"Total","United States","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","United States","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","United States","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","Japan","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","Japan","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","Japan","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2008","Active population",":",""
