"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Males","France","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","France","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","France (metropolitan)","From 20 to 64 years","Percentage of total population","2007","Active population","75.4",""
"Males","France (metropolitan)","From 20 to 64 years","Percentage of total population","2007","Active population","80.6",""
"Females","France (metropolitan)","From 20 to 64 years","Percentage of total population","2007","Active population","70.3",""
"Total","Croatia","From 20 to 64 years","Percentage of total population","2007","Active population","70.6",""
"Males","Croatia","From 20 to 64 years","Percentage of total population","2007","Active population","78.6",""
"Females","Croatia","From 20 to 64 years","Percentage of total population","2007","Active population","62.7",""
"Total","Italy","From 20 to 64 years","Percentage of total population","2007","Active population","66.6",""
"Males","Italy","From 20 to 64 years","Percentage of total population","2007","Active population","79.4",""
"Females","Italy","From 20 to 64 years","Percentage of total population","2007","Active population","54.0",""
"Total","Cyprus","From 20 to 64 years","Percentage of total population","2007","Active population","79.9",""
"Males","Cyprus","From 20 to 64 years","Percentage of total population","2007","Active population","89.4",""
"Females","Cyprus","From 20 to 64 years","Percentage of total population","2007","Active population","70.9",""
"Total","Latvia","From 20 to 64 years","Percentage of total population","2007","Active population","79.8",""
"Males","Latvia","From 20 to 64 years","Percentage of total population","2007","Active population","85.9",""
"Females","Latvia","From 20 to 64 years","Percentage of total population","2007","Active population","74.3",""
"Total","Lithuania","From 20 to 64 years","Percentage of total population","2007","Active population","75.9",""
"Males","Lithuania","From 20 to 64 years","Percentage of total population","2007","Active population","79.9",""
"Females","Lithuania","From 20 to 64 years","Percentage of total population","2007","Active population","72.2",""
"Total","Luxembourg","From 20 to 64 years","Percentage of total population","2007","Active population","72.3","b"
"Males","Luxembourg","From 20 to 64 years","Percentage of total population","2007","Active population","81.0","b"
"Females","Luxembourg","From 20 to 64 years","Percentage of total population","2007","Active population","63.8","b"
"Total","Hungary","From 20 to 64 years","Percentage of total population","2007","Active population","67.2",""
"Males","Hungary","From 20 to 64 years","Percentage of total population","2007","Active population","75.0",""
"Females","Hungary","From 20 to 64 years","Percentage of total population","2007","Active population","59.8",""
"Total","Malta","From 20 to 64 years","Percentage of total population","2007","Active population","62.0",""
"Males","Malta","From 20 to 64 years","Percentage of total population","2007","Active population","83.0",""
"Females","Malta","From 20 to 64 years","Percentage of total population","2007","Active population","40.4",""
"Total","Netherlands","From 20 to 64 years","Percentage of total population","2007","Active population","80.0",""
"Males","Netherlands","From 20 to 64 years","Percentage of total population","2007","Active population","86.9",""
"Females","Netherlands","From 20 to 64 years","Percentage of total population","2007","Active population","73.0",""
"Total","Austria","From 20 to 64 years","Percentage of total population","2007","Active population","76.3","b"
"Males","Austria","From 20 to 64 years","Percentage of total population","2007","Active population","83.0","b"
"Females","Austria","From 20 to 64 years","Percentage of total population","2007","Active population","69.6","b"
"Total","Poland","From 20 to 64 years","Percentage of total population","2007","Active population","69.4",""
"Males","Poland","From 20 to 64 years","Percentage of total population","2007","Active population","77.1",""
"Females","Poland","From 20 to 64 years","Percentage of total population","2007","Active population","61.9",""
"Total","Portugal","From 20 to 64 years","Percentage of total population","2007","Active population","79.0",""
"Males","Portugal","From 20 to 64 years","Percentage of total population","2007","Active population","84.8",""
"Females","Portugal","From 20 to 64 years","Percentage of total population","2007","Active population","73.5",""
"Total","Romania","From 20 to 64 years","Percentage of total population","2007","Active population","68.7",""
"Males","Romania","From 20 to 64 years","Percentage of total population","2007","Active population","76.4",""
"Females","Romania","From 20 to 64 years","Percentage of total population","2007","Active population","61.2",""
"Total","Slovenia","From 20 to 64 years","Percentage of total population","2007","Active population","76.1",""
"Males","Slovenia","From 20 to 64 years","Percentage of total population","2007","Active population","80.7",""
"Females","Slovenia","From 20 to 64 years","Percentage of total population","2007","Active population","71.3",""
"Total","Slovakia","From 20 to 64 years","Percentage of total population","2007","Active population","75.3",""
"Males","Slovakia","From 20 to 64 years","Percentage of total population","2007","Active population","83.9",""
"Females","Slovakia","From 20 to 64 years","Percentage of total population","2007","Active population","66.9",""
"Total","Finland","From 20 to 64 years","Percentage of total population","2007","Active population","79.7",""
"Males","Finland","From 20 to 64 years","Percentage of total population","2007","Active population","82.0",""
"Females","Finland","From 20 to 64 years","Percentage of total population","2007","Active population","77.5",""
"Total","Sweden","From 20 to 64 years","Percentage of total population","2007","Active population","84.4",""
"Males","Sweden","From 20 to 64 years","Percentage of total population","2007","Active population","87.4",""
"Females","Sweden","From 20 to 64 years","Percentage of total population","2007","Active population","81.4",""
"Total","United Kingdom","From 20 to 64 years","Percentage of total population","2007","Active population","78.7","b"
"Males","United Kingdom","From 20 to 64 years","Percentage of total population","2007","Active population","86.2","b"
"Females","United Kingdom","From 20 to 64 years","Percentage of total population","2007","Active population","71.4","b"
"Total","Iceland","From 20 to 64 years","Percentage of total population","2007","Active population","88.1",""
"Males","Iceland","From 20 to 64 years","Percentage of total population","2007","Active population","92.8",""
"Females","Iceland","From 20 to 64 years","Percentage of total population","2007","Active population","82.9",""
"Total","Norway","From 20 to 64 years","Percentage of total population","2007","Active population","82.6",""
"Males","Norway","From 20 to 64 years","Percentage of total population","2007","Active population","86.1",""
"Females","Norway","From 20 to 64 years","Percentage of total population","2007","Active population","79.1",""
"Total","Switzerland","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","Switzerland","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","Switzerland","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2007","Active population","68.5",""
"Males","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2007","Active population","81.6",""
"Females","Former Yugoslav Republic of Macedonia, the","From 20 to 64 years","Percentage of total population","2007","Active population","55.1",""
"Total","Turkey","From 20 to 64 years","Percentage of total population","2007","Active population","52.7",""
"Males","Turkey","From 20 to 64 years","Percentage of total population","2007","Active population","79.7",""
"Females","Turkey","From 20 to 64 years","Percentage of total population","2007","Active population","26.5",""
"Total","United States","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","United States","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","United States","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","Japan","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","Japan","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","Japan","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Total","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Males","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
"Females","Euro area (13 countries)","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
